depdom,ADEC,MDEC,JDEC,dc_j
02,2019,2,11,27
02,2019,2,12,13
02,2019,2,13,13
02,2019,2,14,16
02,2019,2,15,21
02,2019,2,16,19
02,2019,2,17,15
02,2019,2,18,23
02,2019,2,19,25
02,2019,2,20,24
02,2019,2,21,15
02,2019,2,22,16
02,2019,2,23,15
02,2019,2,24,16
02,2019,2,25,21
02,2019,2,26,23
02,2019,2,27,23
02,2019,2,28,17
02,2019,3,1,18
02,2019,3,2,12
02,2019,3,3,13
02,2019,3,4,22
02,2019,3,5,17
02,2019,3,6,22
02,2019,3,7,13
02,2019,3,8,26
02,2019,3,9,12
02,2019,3,10,18
02,2019,3,11,16
02,2019,3,12,14
02,2019,3,13,11
02,2019,3,14,18
02,2019,3,15,13
02,2019,3,16,14
02,2019,3,17,17
02,2019,3,18,13
02,2019,3,19,29
02,2019,3,20,15
02,2019,3,21,12
02,2019,3,22,17
02,2019,3,23,17
02,2019,3,24,13
02,2019,3,25,18
02,2019,3,26,14
02,2019,3,27,17
02,2019,3,28,22
02,2019,3,29,16
02,2019,3,30,19
02,2019,3,31,9
02,2019,4,1,19
02,2019,4,2,10
02,2019,4,3,14
02,2019,4,4,15
02,2019,4,5,21
02,2019,4,6,11
02,2019,4,7,20
02,2019,4,8,16
02,2019,4,9,17
02,2019,4,10,11
02,2019,4,11,13
02,2019,4,12,9
02,2019,4,13,13
02,2019,4,14,18
02,2019,4,15,12
02,2019,4,16,19
02,2019,4,17,14
02,2019,4,18,20
02,2019,4,19,17
02,2019,4,20,11
02,2019,4,21,15
02,2019,4,22,20
02,2019,4,23,12
02,2019,4,24,18
02,2019,4,25,13
02,2019,4,26,18
02,2019,4,27,13
02,2019,4,28,17
02,2019,4,29,14
02,2019,4,30,20
02,2019,5,1,18
02,2019,5,2,11
02,2019,5,3,14
02,2019,5,4,17
02,2019,5,5,17
02,2019,5,6,20
02,2019,5,7,17
02,2019,5,8,19
02,2019,5,9,23
02,2019,5,10,14
02,2019,5,11,18
02,2019,5,12,12
02,2019,5,13,13
02,2019,5,14,12
02,2019,5,15,20
02,2019,5,16,22
02,2019,5,17,16
02,2019,5,18,18
02,2019,5,19,14
02,2019,5,20,22
02,2019,5,21,20
02,2019,5,22,18
02,2019,5,23,16
02,2019,5,24,18
02,2019,5,25,13
02,2019,5,26,16
02,2019,5,27,16
02,2019,5,28,18
02,2019,5,29,20
02,2019,5,30,10
02,2019,5,31,23
02,2019,6,1,14
02,2019,6,2,14
02,2019,6,3,17
02,2019,6,4,13
02,2019,6,5,15
02,2019,6,6,11
02,2019,6,7,15
02,2019,6,8,17
02,2019,6,9,10
02,2019,6,10,16
02,2019,6,11,13
02,2019,6,12,17
02,2019,6,13,10
